,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,keepers,keepers,keepers,keepers,keepers,keepers,keepers,keepers,keepers,keepers,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,keepersadv,shooting,shooting,shooting,shooting,shooting,shooting,shooting,shooting,shooting,shooting,shooting,shooting,shooting,shooting,shooting,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing,passing_types,passing_types,passing_types,passing_types,passing_types,passing_types,passing_types,passing_types,passing_types,passing_types,passing_types,passing_types,passing_types,passing_types,gca,gca,gca,gca,gca,gca,gca,gca,gca,gca,gca,gca,gca,gca,defense,defense,defense,defense,defense,defense,defense,defense,defense,defense,defense,defense,defense,defense,defense,defense,possession,possession,possession,possession,possession,possession,possession,possession,possession,possession,possession,possession,possession,possession,possession,possession,playingtime,playingtime,playingtime,playingtime,playingtime,playingtime,playingtime,playingtime,playingtime,playingtime,playingtime,playingtime,playingtime,misc,misc,misc,misc,misc,misc,misc,misc,misc,misc,misc,misc,misc,misc,misc,misc,stats
,Player,Nation,Pos,Squad,Age,Min,MP,Starts,Gls,Ast,G-PK,G+A-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Season,Value,Team,TmPos,Value.1,Team.1,TmPos.1,GA,SoTA,Save%,CS,CS%,PKA,PKsv,PKm,Save%.1,GkMin,PSxG,PSxG/SoT,PSxG+/-,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,xAG,A-xAG,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ.1,Att.1,Succ%,Mis,Dis,Rec,Prog,MP,Min%,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,short
-9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000acda,Marco Benassi,Italy,Midfielder,Fiorentina Empoli,28,6677,105,79,13,5,13,0.76,0,0,15,1,11.6,11.6,7.0,18.8,2022-2023,2.0,Fiorentina,Central Midfield,2.4,Fiorentina,Central Midfield,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,13,159,53,133.9,0.0775,0.79,98.5,0,0,0,11.6,11.6,0.07245,1.4,1.4,2200,2956,74.1,35035.0,11180.0,1128,1362,82.75,826,1066,77.4,152,271,51.4,5,7.0,7.0,-2.0,93,259,70,23,260,2835,108,23,15,20,143,70,3,0,2,0,2200,13,83,185,157,0,5,16,2,5,13,10,0,0,3,0,0,112,75,41,44,27,46,133,35.53,87,86,6,80,48,160,82,1,3661,86,569,1799,1332,207,3661,39,65,39.0,65.0,63.03,105,62,2529,351,105,61.5,79,38,26,35,1.342,94,90,4.0,101,82.3,19.3,15,1,0,94,55,6,143,48,75,0,1,0.0,351.0,62,131,31,Benassi
000b3da6,Manuel Iturra,Chile,Midfielder,Málaga Villarreal,38,1657,23,19,0,0,0,0.0,0,0,7,0,0.4,0.4,0.7,1.2,2018-2019,0.0,-,Defensive Midfield,0.0,-,Defensive Midfield,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,2,1,50.0,0.0,0.0,14.9,0,0,0,0.4,0.4,0.2006,-0.4,-0.4,523,660,79.1,9699.0,2777.0,222,264,83.8,215,251,85.56,73,116,62.88,0,0.7,0.7,-0.7,7,59,8,2,42,635,22,14,1,9,9,7,1,0,1,0,523,3,4,16,12,0,2,1,0,1,0,0,0,0,0,0,0,72,45,36,29,7,22,55,38.22,33,20,2,18,31,103,25,0,850,42,264,511,92,4,850,19,26,19.0,26.0,69.8,16,23,457,9,23,44.34,19,15,4,6,0.4893,10,29,-19.0,19,28.3,-8.5,7,0,0,46,22,0,9,31,45,0,0,0.0,126.0,24,26,49,Iturra
00242715,Moussa Niakhate,France,Defender,Nott'ham Forest Metz Mainz 05,26,14457,165,162,9,5,6,0.34,3,3,29,1,10.4,8.0,4.6,12.7,2021-2022,18.0,Nottingham Forest,Centre-Back,18.0,Nottingham Forest,Centre-Back,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,9,60,20,239.6,0.1169,1.6,78.7,1,3,3,10.4,8.0,0.1405,-1.4,-2.0,5980,7727,77.5,121763.0,50780.0,1971,2280,86.2,3008,3548,85.06,927,1648,55.34,5,5.4,4.6,0.4,52,458,39,11,412,6933,775,259,5,57,71,515,0,0,0,0,5980,19,103,164,122,15,4,5,5,13,16,12,0,0,0,0,4,224,135,162,56,6,93,165,56.44,72,178,91,87,239,463,572,7,9276,984,4596,4082,672,112,9273,54,88,54.0,88.0,66.3,96,36,5128,47,165,90.6,162,156,3,3,1.13,201,263,-62.0,232,264.0,-32.0,29,1,1,210,120,6,71,239,135,0,7,0.0,1010.0,353,224,61,Niakhate
00242b75,Leandro Barreiro Martins,Luxembourg,Midfielder,Mainz 05,22,5788,92,66,3,6,3,0.5,0,0,15,0,8.0,8.0,6.2,14.2,2022-2023,8.0,Mainz 05,Central Midfield,8.0,Mainz 05,Central Midfield,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,3,83,26,129.8,0.03314,0.3,100.2,0,0,0,8.0,8.0,0.0981,-5.0,-5.0,1227,1792,68.2,18524.0,6567.0,649,840,76.9,439,589,74.1,77,171,43.5,6,4.5,6.2,-0.2,46,126,26,4,148,1744,35,28,5,6,25,3,4,1,2,0,1227,13,64,99,68,1,4,6,12,8,10,8,0,0,0,2,0,175,98,62,80,33,67,138,47.4,71,86,22,64,110,285,104,1,2591,135,665,1309,641,114,2591,20,42,20.0,42.0,43.84,102,36,1186,113,92,58.78,66,28,26,24,1.357,76,93,-17.0,96,98.3,-1.8,15,0,0,141,102,1,25,110,98,2,2,0.0,340.0,104,104,49,Martins
0033fb1b,Niclas Eliasson,Sweden,Midfielder,Nîmes,26,1799,30,19,4,3,4,0.35,0,0,1,0,3.6,3.6,4.4,8.0,2020-2021,2.0,AEK Athens,Winger,2.5,AEK Athens,Winger,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,4,25,10,40.0,0.16,0.4,16.8,6,0,0,3.6,3.6,0.15,0.4,0.4,307,530,57.9,5176.0,1804.0,161,200,80.5,89,165,53.9,41,119,34.5,3,4.5,4.4,-1.4,35,15,15,9,22,415,112,41,0,1,142,14,57,27,26,0,307,3,11,58,26,23,4,1,3,1,3,2,1,0,0,0,0,28,14,9,12,7,11,24,45.8,13,20,1,19,23,51,16,0,743,15,111,252,392,40,743,10,23,10.0,23.0,43.5,46,13,404,88,30,52.6,19,3,11,2,0.8,20,40,-20.0,22,37.7,-15.5,1,0,0,25,42,4,142,23,14,0,0,0.0,70.0,19,43,30,Eliasson
003a5c72,Mikel San José,Spain,Midfielder,Athletic Club,33,4247,68,43,1,1,1,0.08,0,0,15,0,3.3,3.3,2.9,6.3,2019-2020,0.0,SD Amorebieta,Defensive Midfield,0.0,SD Amorebieta,Defensive Midfield,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,37,9,70.0,0.02538,0.2,53.4,1,0,0,3.3,3.3,0.08594,-2.3,-2.3,1434,1877,76.2,25206.0,8490.0,642,796,80.6,593,727,81.3,156,234,66.5,1,2.7,2.9,-1.9,29,159,33,4,164,1833,40,27,13,14,22,1,0,0,0,0,1434,4,38,71,63,0,4,3,0,1,7,4,0,0,3,0,0,104,66,40,46,18,36,131,27.66,95,73,20,53,71,175,77,0,2363,129,546,1430,414,66,2363,26,48,26.0,48.0,50.84,51,39,1360,67,68,53.53,43,37,25,23,1.165,46,63,-17.0,54,62.3,-7.9,15,0,0,79,17,3,22,71,66,0,0,2.0,272.0,145,105,58,José
00459419,Marko Arnautović,Austria,Forward,West Ham Bologna,33,8096,105,97,43,11,37,2.09,6,7,18,1,38.1,32.8,14.7,47.6,2022-2023,9.0,Bologna,Forward,9.0,Bologna,Forward,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,43,241,106,183.2,0.1569,1.5,62.3,6,6,7,38.1,32.8,0.1345,4.9,4.2,1888,2668,70.75,25348.0,4886.0,1132,1454,77.8,530,739,71.8,78,147,57.0,11,10.2,14.7,-3.7,134,95,62,7,135,2491,162,13,21,4,99,30,3,1,2,0,1888,15,94,268,201,2,29,25,10,1,34,24,0,5,4,0,1,55,35,16,26,13,16,60,25.17,44,44,8,36,25,80,66,0,3533,79,268,1428,1883,476,3526,119,190,119.0,190.0,59.97,214,125,2671,641,105,70.9,97,53,8,2,1.234,113,144,-31.0,108,131.2,-23.3,18,1,0,127,74,88,99,25,35,0,1,0.0,254.0,76,113,40,Arnautović
0049d544,Yassine El Ghanassy,Belgium,Midfielder,Nantes,32,644,20,5,0,0,0,0.0,0,0,1,0,0.7,0.7,1.2,1.9,2017-2018,0.0,-,Winger,0.1,-,Winger,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,13,3,23.1,0.0,0.0,19.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,230,293,78.5,3447.0,1066.0,133,151,88.1,74,96,77.1,12,21,57.1,0,2.0,1.2,-1.2,14,18,13,2,30,280,10,4,2,0,25,2,4,1,2,0,230,3,6,39,21,2,8,2,5,1,3,1,0,1,0,1,0,7,4,1,3,3,1,4,25.0,3,1,0,1,4,11,4,0,374,5,31,156,198,22,374,38,52,38.0,52.0,73.1,17,27,298,35,20,18.8,5,0,15,10,1.35,7,7,0.0,10,6.6,3.8,1,0,0,10,18,0,25,4,4,0,0,0.0,39.0,4,6,40,Ghanassy
